,name,cost,competitive rate,code,date
0,시몬느액세서리컬렉션,-,,  381920, 
1,리파인,-,,  377450, 
2,아이패밀리에스씨,-,,  114840,  2021.10.28
3,차백신연구소,-,,  261780, 
4,비트나인,-,,  357880, 
5,지아이텍,-,,  382480, 
6,지오엘리먼트,-,,  311320, 
7,카카오페이,-,,  377300,  2021.10.14
8,NH스팩21호,-,,  391710, 
9,케이카,-,,  381970, 
10,씨유테크,-,,  376290, 
11,원준,-,,  382840, 
12,하나금융스팩19호,-,,  388220, 
13,아스플로,-,,  159010, 
14,NH스팩20호,"2,000",,  391060, 
15,에스앤디,"28,000",4.20:1,  260970,  2021.09.29
16,실리콘투,"27,200",1701:1,  257720,  2021.09.29
17,프롬바이오,"18,000",48.24:1,  377220,  2021.09.28
18,신한스팩8호,"2,000",361.39:1,  393360,  2021.09.27
19,바이오플러스,"31,500",1206.63:1,  099430,  2021.09.27
20,현대중공업,"60,000",404.29:1,  329180,  2021.09.17
21,대신밸런스스팩10호,"2,000",207.57:1,  387310,  2021.09.17
22,유진스팩7호,"2,000",3921.38:1,  388800,  2021.09.13
23,와이엠텍,"28,000",2939.57:1,  273640,  2021.09.10
24,에이비온,"17,000",30.66:1,  203400,  2021.09.08
25,SK리츠,"5,000",552:1,  395400,  2021.09.14
26,일진하이솔루스,"34,300",654.5:1,  271940,  2021.09.01
27,IBKS스팩16호,"2,000",388.37:1,  388790,  2021.09.03
28,바이젠셀,"52,700",886.2:1,  308080,  2021.08.25
29,브레인즈컴퍼니,"25,000",1190.39:1,  099390,  2021.08.19
30,아주스틸,"15,100",1419.73:1,  139990,  2021.08.20
31,롯데렌탈,"59,000",65.81:1,  089862,  2021.08.19
32,딥노이드,"42,000",834.86:1,  315640,  2021.08.17
33,한컴라이프케어,"13,700",109.8:1,  372910,  2021.08.17
34,디앤디플랫폼리츠,"5,000",36.43:1,  377190,  2021.08.27
35,플래티어,"11,000",2498.8:1,  367000,  2021.08.12
36,엠로,"22,600",250:1,  058970,  2021.08.13
37,크래프톤,"498,000",7.79:1,  259960,  2021.08.10
38,원티드랩,"35,000",1731.23:1,  376980,  2021.08.11
39,에이치케이이노엔,"59,000",388.9:1,  195940,  2021.08.09
40,카카오뱅크,"39,000",181.1:1,  323410,  2021.08.06
41,한화플러스스팩2호,"2,000",481.19:1,  386580,  2021.08.05
42,에브리봇,"36,700",159.42:1,  270660,  2021.07.28
43,맥스트,"15,000",6762.75:1,  377030,  2021.07.27
44,큐라클,"25,000",1546.9:1,  365270,  2021.07.22
45,에스디바이오센서,"52,000",274.02:1,  137310,  2021.07.16
46,오비고,"14,300",1485.15:1,  352910,  2021.07.13
47,아모센스,"12,400",26.55:1,  357580,  2021.06.25
48,이노뎁,"18,000",692.12:1,  303530,  2021.06.18
49,삼성머스트스팩5호,"2,000",908.55:1,  380320,  2021.06.17
50,라온테크,"18,000",779.10:1,  232680,  2021.06.17
51,엘비루셈,"14,000",824.51:1,  376190,  2021.06.11
52,에이디엠코리아,"3,800",2345.4:1,  187660,  2021.06.03
53,제주맥주,"3,200",1747.82:1,  276730,  2021.05.26
54,진시스템,"20,000",354.58:1,  363250,  2021.05.26
55,삼영에스앤씨,"11,000",2392.84:1,  361670,  2021.05.21
56,삼성스팩4호,"2,000",78.63:1,  377630,  2021.05.21
57,NH스팩19호,"2,000",21.64:1,  380440,  2021.05.21
58,샘씨엔에스,"6,500",1104.29:1,  252990,  2021.05.20
59,씨앤씨인터내셔널,"47,500",898:1,  352480,  2021.05.17
60,에이치피오,"22,200",95.01:1,  357230,  2021.05.14
61,하이스팩6호,"2,000",7.63:1,  377400,  2021.05.10
62,SK아이이테크놀로지,"105,000",288.17:1,  361610,  2021.05.11
63,쿠콘,"45,000",1596.32:1,  294570,  2021.04.28
64,해성티피씨,"13,000",2053.27:1,  059270,  2021.04.21
65,이삭엔지니어링,"11,500",2262.09:1,  351330,  2021.04.21
66,유진스팩6호,"2,000",236.23:1,  373340,  2021.04.08
67,유안타스팩8호,"2,000",84.91:1,  367480,  2021.04.05
68,엔시스,"19,000",2573.60:1,  333620,  2021.04.01
69,자이언트스텝,"11,000",2342:1,  289220,  2021.03.24
70,제노코,"36,000",2095.45:1,  361390,  2021.03.24
71,라이프시맨틱스,"12,500",1774.57:1,  347700,  2021.03.23
72,SK바이오사이언스,"65,000",335.36:1,  302440,  2021.03.18
73,바이오다인,"30,000",48.36:1,  314930,  2021.03.17
74,디비금융스팩9호,"2,000",8.56:1,  367360,  2021.03.16
75,네오이뮨텍,"7,500",664.65:1,  950220,  2021.03.16
76,프레스티지바이오로직스,"12,400",126.06:1,  334970,  2021.03.11
77,싸이버원,"9,500",1880.43:1,  356890,  2021.03.11
78,나노씨엠에스,"20,000",1243.48:1,  247660,  2021.03.09
79,하나머스트스팩7호,"2,000",237.46:1,  372290,  2021.03.05
80,IBKS스팩15호,"2,000",101.73:1,  373200,  2021.02.26
81,뷰노,"21,000",1102.7:1,  338220,  2021.02.26
82,씨이랩,"35,000",195.53:1,  189330,  2021.02.24
83,유일에너테크,"16,000",683.55:1,  340930,  2021.02.25
84,오로스테크놀로지,"21,000",1033.82:1,  322310,  2021.02.24
85,피엔에이치테크,"18,000",1528.76:1,  239890,  2021.02.16
86,하나금융스팩17호,"2,000",168.68:1,  363260,  2021.02.10
87,아이퀘스트,"11,000",2853.34:1,  262840,  2021.02.05
88,프레스티지바이오파마,"32,000",237.13:1,  950210,  2021.02.05
89,와이더플래닛,"16,000",1357.98:1,  321820,  2021.02.03
90,레인보우로보틱스,"10,000",1201.26:1,  277810,  2021.02.03
91,신한스팩7호,"2,000",7.45:1,  366330,  2021.02.04
92,솔루엠,"17,000",1147.76:1,  248070,  2021.02.02
93,핑거,"16,000",939.39:1,  163730,  2021.01.29
94,씨앤투스성진,"32,000",674.04:1,  352700,  2021.01.28
95,모비릭스,"14,000",1485.51:1,  348030,  2021.01.28
96,선진뷰티사이언스,"11,500",1987.74:1,  086710,  2021.01.27
97,엔비티,"19,000",4397.67:1,  236810,  2021.01.21
98,한국스팩9호,"2,000",46.54:1,  368770,  2021.01.21
99,유안타스팩7호,"2,000",0.22:1,  367460,  2020.12.28
100,석경에이티,"10,000",1751.58:1,  357550,  2020.12.23
101,지놈앤컴퍼니,"40,000",1175.10:1,  314130,  2020.12.23
102,프리시젼바이오,"12,500",1557.29:1,  335810,  2020.12.22
103,대신밸런스스팩9호,"2,000",5.31:1,  369370,  2020.12.23
104,엔에이치스팩18호,"2,000",6.81:1,  365590,  2020.12.21
105,알체라,"10,000",1322.58:1,  347860,  2020.12.21
106,에프앤가이드,"7,000",1353.9:1,  064850,  2020.12.17
107,에이치엠씨아이비스팩5호,"2,000",0.64:1,  353060,  2020.12.16
108,이에스알켄달스퀘어리츠,"5,000",3.59:1,  365550,  2020.12.23
109,티엘비,"38,000",1551.19:1,  356860,  2020.12.14
110,인바이오,"5,800",1414.15:1,  352940,  2020.12.11
111,엔젠바이오,"14,000",1502.4:1,  354200,  2020.12.10
112,퀀타매트릭스,"25,500",167.87:1,  317690,  2020.12.09
113,디비금융스팩8호,"2,000",0.71:1,  367340,  2020.12.09
114,명신산업,"6,500",1372.94:1,  009900,  2020.12.07
115,엔에프씨,"13,400",643.85:1,  265740,  2020.12.02
116,앱코,"24,300",978.13:1,  129890,  2020.12.02
117,포인트모바일,"15,000",1842.97:1,  318020,  2020.12.03
118,클리노믹스,"13,900",341.46:1,  352770,  2020.12.04
119,제일전기공업,"17,000",1396.1:1,  199820,  2020.11.26
120,하나기술,"35,000",1802.10:1,  299030,  2020.11.25
121,티앤엘,"36,000",1109.19:1,  340570,  2020.11.20
122,에이플러스에셋어드바이저,"7,500",24.75:1,  244920,  2020.11.20
123,네패스아크,"26,500",830.21:1,  330860,  2020.11.17
124,고바이오랩,"15,000",566.54:1,  348150,  2020.11.18
125,교촌에프앤비,"12,300",1318.29:1,  339770,  2020.11.12
126,소룩스,"10,000",1660.08:1,  290690,  2020.11.06
127,위드텍,"25,000",1185.51:1,  348350,  2020.10.30
128,센코,"13,000",366.42:1,  347000,  2020.10.29
129,바이브컴퍼니,"28,000",1266.22:1,  301300,  2020.10.28
130,미코바이오메드,"15,000",41.74:1,  214610,  2020.10.22
131,피플바이오,"20,000",51.08:1,  304840,  2020.10.19
132,하이브(구.빅히트),"135,000",606.97:1,  352820,  2020.10.15
133,넥스틴,"75,400",13.92:1,  348210,  2020.10.08
134,원방테크,"54,300",348.77:1,  053080,  2020.09.24
135,엔에이치스팩17호,"2,000",0.59:1,  359090,  2020.09.23
136,비나텍,"33,000",1386.85:1,  126340,  2020.09.23
137,박셀바이오,"30,000",96.44:1,  323990,  2020.09.22
138,비비씨,"30,700",464.19:1,  318410,  2020.09.21
139,핌스,"19,000",1161.84:1,  347770,  2020.09.18
140,교보스팩10호,"2,000",0.17:1,  355150,  2020.09.18
141,압타머사이언스,"25,000",1251.29:1,  291650,  2020.09.16
142,이오플로우,"19,000",686.71:1,  294090,  2020.09.14
143,카카오게임즈,"24,000",1524.8:1,  293490,  2020.09.10
144,피엔케이피부임상연구센타,"18,300","1,727.11:1",  347740,  2020.09.09
145,미래에셋대우스팩5호,"2,000",5.78:1,  353490,  2020.08.28
146,아이디피,"9,800",1149.83:1,  332370,  2020.08.24
147,셀레믹스,"20,000",1176.45:1,  331920,  2020.08.21
148,미투젠,"27,000",1010.86:1,  950190,  2020.08.18
149,코람코에너지플러스리츠,"5,000",1.54:1,  357120,  2020.08.31
150,브랜드엑스코퍼레이션,"13,000",8.54:1,  337930,  2020.08.13
151,영림원소프트랩,"11,500",2493.57:1,  060850,  2020.08.12
152,한국파마,"9,000",2036:1,  032300,  2020.08.10
153,이루다,"9,000",3039.55:1,  164060,  2020.08.06
154,제이알글로벌리츠,"5,000",0.23:1,  348950,  2020.08.07
155,이엔드디,"14,400",808.62:1,  101360,  2020.07.30
156,와이팜,"11,000",712.13:1,  332570,  2020.07.31
157,에이치엠씨아이비스팩4호,"2,000",0.68:1,  353070,  2020.07.29
158,엠투아이,"15,600",176.83:1,  347890,  2020.07.29
159,더네이쳐홀딩스,"46,000",151.9:1,  298540,  2020.07.27
160,하나금융스팩16호,"2,000",5.51:1,  343510,  2020.07.23
161,제놀루션,"14,000",894.67:1,  225220,  2020.07.24
162,솔트룩스,"25,000",953.53:1,  304100,  2020.07.23
163,티에스아이,"10,000",1621.1:1,  277880,  2020.07.22
164,미래에셋맵스리츠1호,"5,000",9:1,  357250,  2020.08.05
165,에이프로,"21,600",1582.52:1,  262260,  2020.07.16
166,IBKS스팩13호,"2,000",11.01:1,  351340,  2020.07.15
167,이지스레지던스리츠,"5,000",2.6:1,  350520,  2020.08.05
168,소마젠,"11,000",4.42:1,  950200,  2020.07.13
169,위더스제약,"15,900",1082.03:1,  330350,  2020.07.03
170,신도기연,"16,000",955.01:1,  290520,  2020.07.06
171,SK바이오팜,"49,000",323.03:1,  326030,  2020.07.02
172,마크로밀엠브레인,"6,800",888.01:1,  169330,  2020.07.01
173,이지스밸류플러스리츠,"5,000",26.86:1,  334890,  2020.07.16
174,젠큐릭스,"22,700",12.35:1,  229000,  2020.06.25
175,IBKS스팩14호,"2,000",2.06:1,  351320,  2020.06.22
176,엘이티,"7,800",1552.16:1,  297890,  2020.06.22
177,에스씨엠생명과학,"17,000",814.91:1,  298060,  2020.06.17
178,엔에이치스팩16호,"2,000",0.78:1,  353190,  2020.06.17
179,드림씨아이에스,"14,900",669.22:1,  223250,  2020.05.22
180,이베스트스팩5호,"2,000",0.21:1,  349720,  2020.05.20
181,케이프이에스스팩4호,"2,000",8.71:1,  347140,  2020.03.24
182,엔피디,"5,400",32.65:1,  198080,  2020.03.16
183,플레이디,"8,500",864.80:1,  237820,  2020.03.12
184,에스케이스팩6호,"2,000",0.36:1,  340350,  2020.03.11
185,서울바이오시스,"7,500",942.70:1,  092190,  2020.03.06
186,제이앤티씨,"11,000",3.48:1,  204270,  2020.03.04
187,켄코아에어로스페이스,"10,000",256.68:1,  274090,  2020.03.03
188,레몬,"7,200",800.07:1,  294140,  2020.02.28
189,서남,"3,100",881.6:1,  294630,  2020.02.20
190,신영스팩6호,"2,000",2.08:1,  344050,  2020.02.12
191,위세아이텍,"12,000",1076.62:1,  065370,  2020.02.10
192,하나금융스팩15호,"2,000",6.92:1,  341160,  2020.01.30
193,케이비스팩20호,"2,000",1.19:1,  342550,  2020.01.30
194,천랩,"40,000",638.63:1,  311690,  2019.12.26
195,피피아이,"7,000",1147.7:1,  062970,  2019.12.26
196,한화플러스스팩1호,"2,000",9.00:1,  340440,  2019.12.27
197,브릿지바이오테라퓨틱스,"60,000",33.52:1,  288330,  2019.12.20
198,엔에이치스팩15호,"2,000",1.43:1,  339950,  2019.12.24
199,메탈라이프,"13,000",1397.97:1,  327260,  2019.12.24
200,하이스팩5호,"2,000",0.37:1,  340120,  2019.12.23
201,메드팩토,"40,000",18.84:1,  235980,  2019.12.19
202,신테카바이오,"12,000",123.20:1,  226330,  2019.12.17
203,대신밸런스스팩8호,"2,000",0.67:1,  336570,  2019.12.19
204,유안타스팩6호,"2,000",0.37:1,  340360,  2019.12.19
205,제이엘케이인스펙션,"9,000",8.49:1,  322510,  2019.12.11
206,IBKS스팩12호,"2,000",76.16:1,  335870,  2019.12.09
207,태웅로직스,"4,500",618.52:1,  124560,  2019.12.10
208,에스케이스팩5호,"2,000",0.37:1,  337450,  2019.12.05
209,리메드,"13,000",92.69:1,  302550,  2019.12.06
210,코리아센터,"18,000",4.13:1,  290510,  2019.11.29
211,IBKS스팩11호,"2,000",6.97:1,  335890,  2019.12.03
212,유안타스팩5호,"2,000",0.2:1,  336060,  2019.11.28
213,엔에이치프라임리츠,"5,000",317.62:1,  338100,  2019.12.05
214,노터스,"20,000",22.31:1,  278650,  2019.11.27
215,센트랄모텍,"6,000",580.5:1,  308170,  2019.11.25
216,티움바이오,"12,000",5.30:1,  321550,  2019.11.22
217,코리아에셋투자증권,"10,000",231.78,  190650,  2019.11.20
218,씨에스베어링,"8,400",699.67:1,  297090,  2019.11.21
219,우양,"4,200",1037.31,  103840,  2019.11.20
220,에스제이그룹,"38,600",512.93:1,  306040,  2019.11.18
221,현대에너지솔루션,"18,000",126.68:1,  322000,  2019.11.19
222,제테마,"21,000",590.02:1,  216080,  2019.11.14
223,한화시스템,"12,250",16.84:1,  272210,  2019.11.13
224,라파스,"20,000",813.16:1,  214260,  2019.11.11
225,아이티엠반도체,"26,000",321.09:1,  084850,  2019.11.07
226,자이에스앤디,"5,200",665.41:1,  317400,  2019.11.06
227,미래에셋대우스팩4호,"2,000",30.10:1,  333430,  2019.11.06
228,하나금융스팩14호,"2,000",80.74:1,  332710,  2019.11.01
229,티라유텍,"12,050",1164.16:1,  322180,  2019.10.31
230,미디어젠,"10,600",573.16:1,  279600,  2019.11.05
231,신한스팩6호,"2,000",83.89:1,  333050,  2019.10.31
232,캐리소프트,"9,000",1067.00:1,  317530,  2019.10.29
